ID,off_mbti,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,ENFJ,ENFP,ENTJ,ESFP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,dum__Bạch dương (21/3 - 19/4),dum__Bảo bình (20/1 - 18/2),dum__Bọ cạp (23/10 - 21/11),dum__Cán cân công lý (23/9 - 22/10),dum__Cự giải (21/6 - 22/7),dum__Kim ngưu (20/4 - 20/5),dum__Ma kết ( 22/12 -19/1),dum__Nhân mã (22/11 - 21/12),dum__Song ngư (19/2 - 20/3),dum__Song tử (21/5 - 20/6),dum__Sư tử (23/7 - 22/8),dum__Xử nữ (23/8 - 22/9),dum__Cam,dum__Hồng nhạt,dum__Trắng,dum__Tím,dum__Vàng,dum__Xanh dương,dum__Xanh lá,dum__Xám,dum__Đen,dum__Đỏ,dum__1,dum__2,dum__3,dum__4,dum__5,dum__6,dum__7,dum__8,dum__9,dum__Hạ,dum__Thu,dum__Xuân,dum__Đông,dum__EDM,dum__Indie,dum__Lo-Fi,dum__Nhạc phim,dum__Pop,dum__Rap,dum__Cello,dum__Guitar Acoustic,dum__Guitar điện,dum__Sáo,dum__Trống,dum__Ukulele,dum__Violon,dum__Đàn piano,dum__Discord,dum__Duolingo,dum__Facebook,dum__Instagram,dum__TikTok,dum__Youtube,dum__Chuyên gây rối nhưng hướng thiện.,dum__Công lý là trên hết.,dum__Cố gắng sống theo quy tắc cả chung và riêng bản thân.,dum__Không tuân theo các quy tắc.,dum__Kẻ chuyên gây rối với mục đích xấu xa.,dum__Nhân vật trung lập.,dum__Sẵn sàng lách luật để thực hiện mục đích xấu xa.,"dum__Sống đúng luật, nhưng không gò bó.",dum__Tôn trọng các quy tắc nhưng dùng nó cho mục đích xấu xa.
1,INFP,3,8,2,8,6,1,9,5,6,1,6,7,3,6,10,5,1,7,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,INFJ,10,4,7,2,10,10,10,10,10,10,6,0,0,1,7,10,10,10,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3,ENFP,7,5,8,6,8,9,9,6,7,7,4,5,3,3,4,6,7,10,10,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4,INTP,8,7,5,5,7,5,7,6,6,5,6,7,10,5,7,8,8,7,5,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5,INFP,8,9,9,8,8,8,10,8,9,8,9,10,10,9,10,8,9,10,8,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,ENFP,8,8,8,9,9,7,8,8,9,8,8,9,8,8,9,9,8,8,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,ENFJ,6,0,1,0,1,0,6,1,1,2,6,1,9,1,1,0,1,1,8,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,INFJ,1,10,0,0,4,5,10,6,4,0,10,10,0,0,10,1,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9,ISFP,8,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,8,8,9,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10,INFP,9,9,9,9,10,10,10,9,10,10,8,7,10,8,9,10,10,10,10,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11,INTP,3,8,3,7,7,3,5,5,8,3,7,3,4,4,8,6,3,9,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
12,ENFJ,8,10,0,9,0,0,7,8,0,10,9,9,10,10,10,0,8,8,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13,INFP,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
